setting,sequence_length,label_count,dfa_states,context_order,product_state_count,mean_seconds,seconds_per_product_state,claim_use
vary_length_dfa,10,8,2,1,16,0.0018579584080725907,0.00011612240050453692,reference CPU complexity sanity
vary_length_dfa,10,8,4,1,32,0.003968978393822908,0.00012403057480696588,reference CPU complexity sanity
vary_length_dfa,10,8,8,1,64,0.009504236816428601,0.0001485037002566969,reference CPU complexity sanity
vary_length_dfa,10,8,16,1,128,0.022597726178355516,0.00017654473576840247,reference CPU complexity sanity
vary_length_dfa,20,8,2,1,16,0.0038293483899906277,0.00023933427437441423,reference CPU complexity sanity
vary_length_dfa,20,8,4,1,32,0.008535262406803667,0.0002667269502126146,reference CPU complexity sanity
vary_length_dfa,20,8,8,1,64,0.022314594383351503,0.00034866553723986724,reference CPU complexity sanity
vary_length_dfa,20,8,16,1,128,0.06074054362252355,0.0004745354970509652,reference CPU complexity sanity
vary_length_dfa,40,8,2,1,16,0.00784519398584962,0.0004903246241156012,reference CPU complexity sanity
vary_length_dfa,40,8,4,1,32,0.017803664808161555,0.0005563645252550486,reference CPU complexity sanity
vary_length_dfa,40,8,8,1,64,0.048073869408108295,0.0007511542095016921,reference CPU complexity sanity
vary_length_dfa,40,8,16,1,128,0.14360463940538465,0.0011219112453545676,reference CPU complexity sanity
vary_length_dfa,80,8,2,1,16,0.0159268984105438,0.0009954311506589874,reference CPU complexity sanity
vary_length_dfa,80,8,4,1,32,0.03659300657454878,0.0011435314554546494,reference CPU complexity sanity
vary_length_dfa,80,8,8,1,64,0.09947108577471227,0.0015542357152298792,reference CPU complexity sanity
vary_length_dfa,80,8,16,1,128,0.22059905577916653,0.0017234301232747385,reference CPU complexity sanity
vary_label_count,40,4,8,1,32,0.0072312360163778065,0.00022597612551180645,reference CPU complexity sanity
vary_label_count,40,8,8,1,64,0.02729421479161829,0.00042647210611903576,reference CPU complexity sanity
vary_label_count,40,16,8,1,128,0.10898072377312928,0.0008514119044775725,reference CPU complexity sanity
vary_label_count,40,32,8,1,256,0.6160358698340133,0.0024063901165391143,reference CPU complexity sanity
context_order_sanity,30,6,4,1,24,0.004366083024069667,0.0001819201260029028,reference CPU complexity sanity
context_order_sanity,30,6,4,2,28,0.00561264562420547,0.00020045162943590963,reference CPU complexity sanity
