block,variant,seeds,up_rate_delta_p_event,mean_p_event_mean,mean_p_event_ci95,delta_p_event_vs_b0_mean,delta_p_event_vs_b0_ci95,mean_illegal_mass_mean,mean_illegal_mass_ci95,hidden_conflict_rate_mean,hidden_conflict_rate_ci95,token_accuracy_mean,token_accuracy_ci95,constrained_token_accuracy_mean,constrained_token_accuracy_ci95,entity_f1_mean,entity_f1_ci95,constrained_entity_f1_mean,constrained_entity_f1_ci95,mean_nll_mean,mean_nll_ci95
r5a_diagnostic_stress,B0_unconstrained,10,0,0.05663479512805825,0.0021117359790996477,0.0,0.0,0.9433652048719418,0.0021117359790996494,1.0,0.0,0.8711069068533188,0.0,0.8711069068533188,0.0,0.0,0.0,0.0,0.0,1.376976427963803,0.019943488386824963
r5a_diagnostic_stress,B1_hard_constrained_decode,10,0,0.05663479512805825,0.0021117359790996477,0.0,0.0,0.9433652048719418,0.0021117359790996494,1.0,0.0,0.8711069068533188,0.0,0.8711069068533188,0.0,0.0,0.0,0.0,0.0,1.376976427963803,0.019943488386824963
r5a_diagnostic_stress,B2_labeled_event_0.1,10,1,0.05764838930184884,0.0022362901732593866,0.0010135941737905844,0.00012884243921649534,0.9423516106981512,0.002236290173259388,1.0,0.0,0.8711069068533188,0.0,0.8711069068533188,0.0,0.0,0.0,0.0,0.0,1.3777962952487512,0.019999395879571964
r5a_diagnostic_stress,B3_labeled_event_0.1_hard_decode,10,1,0.05764838930184884,0.0022362901732593866,0.0010135941737905844,0.00012884243921649534,0.9423516106981512,0.002236290173259388,1.0,0.0,0.8711069068533188,0.0,0.8711069068533188,0.0,0.0,0.0,0.0,0.0,1.3777962952487512,0.019999395879571964
r5a_diagnostic_stress,B4_semi_event_0.1,10,1,0.3388619869152705,0.008225178994941374,0.28222719178721223,0.006422421556674235,0.6611380130847295,0.008225178994941382,0.9963333333333333,0.005194810325795116,0.8711069068533188,0.0,0.8711069068533188,0.0,0.0,0.0,0.0,0.0,0.9399864225281117,0.027730620607175783
r5a_diagnostic_stress,B5_rule_feature_0.8,10,1,0.16082372562858896,0.004240494497643887,0.10418893050053071,0.002143436333776237,0.8391762743714111,0.004240494497643875,1.0,0.0,0.8711069068533188,0.0,0.8711069068533188,0.0,0.0,0.0,0.0,0.0,1.172523616235423,0.018090903414889208
r5a_diagnostic_stress,B6_pr_style_tau0.7,10,1,0.17029872863023776,0.01256674830850804,0.1136639335021795,0.011259709121798484,0.8297012713697622,0.012566748308508041,1.0,0.0,0.8711069068533188,0.0,0.8711069068533188,0.0,0.0,0.0,0.0,0.0,0.9348127664415037,0.024505705962786655
r5b_feature_viability,B0_unconstrained,10,0,0.9824423624813556,0.0027667364749174744,0.0,0.0,0.01755763751864432,0.0027667364749174744,0.0088,0.003157702681099381,0.885858399536166,0.002213999706896103,0.8860121603951899,0.0022605093720755544,0.16599920233477264,0.009077101071332905,0.16653512557670663,0.009241163057343063,0.6507780754870164,0.010413699937032613
r5b_feature_viability,B1_hard_constrained_decode,10,0,0.9824423624813556,0.0027667364749174744,0.0,0.0,0.01755763751864432,0.0027667364749174744,0.0088,0.003157702681099381,0.8860121603951899,0.0022605093720755544,0.8860121603951899,0.0022605093720755544,0.16653512557670663,0.009241163057343063,0.16653512557670663,0.009241163057343063,0.6507780754870164,0.010413699937032613
r5b_feature_viability,B2_labeled_event_0.1,10,1,0.9831626756191254,0.002680589553213536,0.0007203131377696792,0.0001331278053576764,0.01683732438087464,0.002680589553213536,0.0078000000000000005,0.002947974370459975,0.8859974787902452,0.0020939344504092945,0.8861067952048247,0.0021527178583711113,0.16518131164175648,0.009606879974430348,0.16568914398879997,0.009849068392629579,0.6520930301705733,0.010577333345418573
r5b_feature_viability,B3_labeled_event_0.1_hard_decode,10,1,0.9831626756191254,0.002680589553213536,0.0007203131377696792,0.0001331278053576764,0.01683732438087464,0.002680589553213536,0.0078000000000000005,0.002947974370459975,0.8861067952048247,0.0021527178583711113,0.8861067952048247,0.0021527178583711113,0.16568914398879997,0.009849068392629579,0.16568914398879997,0.009849068392629579,0.6520930301705733,0.010577333345418573
r5b_feature_viability,B4_semi_event_0.1,10,0.8,0.9865042672738433,0.0038341752406251023,0.004061904792487603,0.0049394738042130544,0.013495732726156718,0.0038341752406251023,0.0074,0.0032561965542638846,0.8818890842992844,0.004212053849503177,0.8818873182133078,0.004211768343631023,0.1521503315016299,0.015844265318411002,0.15304034046074672,0.016181376015992937,0.7635757146945711,0.025892800127108224
r5b_feature_viability,B5_rule_feature_0.8,10,1,0.9864430399179459,0.002233147806338043,0.0040006774365901835,0.0008408668460176745,0.013556960082054138,0.002233147806338043,0.0058000000000000005,0.002829770622820475,0.8859292648817585,0.0020574635284834573,0.885978752236509,0.002068900363200556,0.1645228157891142,0.007921882975431152,0.16491419480711303,0.008182189105482724,0.6423589812153353,0.010254019627006112
r5b_feature_viability,B6_pr_style_tau0.7,10,0.8,0.9868387884631753,0.0033485348289125764,0.0043964259818196185,0.004818733460992582,0.013161211536824702,0.0033485348289125764,0.006,0.003554517626282862,0.8804207532250533,0.0062217247278211815,0.8804054422202686,0.0062315869298499044,0.14632783881495845,0.020485904283209913,0.14691964565352467,0.0208349302467617,0.7493142947380889,0.03182917863084925
