block,task,pattern,setting,variant,seed,labeled_size,unlabeled_size,dev_size,epochs,lr,mean_p_event,mean_illegal_mass,low_p_event_rate,unconstrained_event_rate,constrained_event_rate,char_accuracy,constrained_char_accuracy,exact_sequence_accuracy,constrained_exact_sequence_accuracy,mean_nll,hidden_conflict_rate,notes
real_main,invoice_6d,DDDDDD,real_l25_u100,B0_unconstrained,0,25,100,300,5,0.08,0.9031554088989894,0.09684459110101062,0.0,1.0,1.0,0.8277777777777777,0.8277777777777777,0.24,0.24,0.6842955056826273,0.0,semi-real CPU-only local probe; not benchmark evidence
real_main,invoice_6d,DDDDDD,real_l25_u100,B2_event_0.1,0,25,100,300,5,0.08,0.899586993654569,0.10041300634543104,0.0,1.0,1.0,0.8194444444444444,0.8194444444444444,0.22,0.22,0.7263850527339512,0.0,semi-real CPU-only local probe; not benchmark evidence
real_main,invoice_6d,DDDDDD,real_l25_u100,B2_event_0.5,0,25,100,300,5,0.08,0.9398050328095754,0.06019496719042461,0.0,1.0,1.0,0.8622222222222222,0.8622222222222222,0.3433333333333333,0.3433333333333333,0.5948844289779663,0.0,semi-real CPU-only local probe; not benchmark evidence
real_main,invoice_6d,DDDDDD,real_l25_u100,B4_semi_event_0.1,0,25,100,300,5,0.08,0.973814037044843,0.02618596295515696,0.0,1.0,1.0,0.8505555555555555,0.8505555555555555,0.32666666666666666,0.32666666666666666,0.5976952176623874,0.0,semi-real CPU-only local probe; not benchmark evidence
real_main,invoice_6d,DDDDDD,real_l25_u100,B4_semi_event_0.5,0,25,100,300,5,0.08,0.9923931276798248,0.007606872320175206,0.0,1.0,1.0,0.8622222222222222,0.8622222222222222,0.3566666666666667,0.3566666666666667,0.49110114998287624,0.0,semi-real CPU-only local probe; not benchmark evidence
real_main,invoice_6d,DDDDDD,real_l25_u100,B5_rule_feature_0.8,0,25,100,300,5,0.08,0.9362954835096995,0.06370451649030051,0.0,1.0,1.0,0.8516666666666667,0.8516666666666667,0.31,0.31,0.604019156826867,0.0,semi-real CPU-only local probe; not benchmark evidence
real_main,invoice_6d,DDDDDD,real_l25_u100,B6_pr_style_tau0.8,0,25,100,300,5,0.08,0.9316156603892645,0.06838433961073553,0.0,1.0,1.0,0.845,0.845,0.30666666666666664,0.30666666666666664,0.6234484847386678,0.0,semi-real CPU-only local probe; not benchmark evidence
real_main,invoice_6d,DDDDDD,real_l25_u100,B0_unconstrained,1,25,100,300,5,0.08,0.9189544439315795,0.08104555606842045,0.0,1.0,1.0,0.83,0.83,0.25333333333333335,0.25333333333333335,0.6920620433489482,0.0,semi-real CPU-only local probe; not benchmark evidence
real_main,invoice_6d,DDDDDD,real_l25_u100,B2_event_0.1,1,25,100,300,5,0.08,0.9164038499196371,0.08359615008036292,0.0,1.0,1.0,0.8211111111111111,0.8211111111111111,0.23,0.23,0.7343904564115736,0.0,semi-real CPU-only local probe; not benchmark evidence
real_main,invoice_6d,DDDDDD,real_l25_u100,B2_event_0.5,1,25,100,300,5,0.08,0.9483083041508993,0.051691695849100716,0.0,1.0,1.0,0.8594444444444445,0.8594444444444445,0.35333333333333333,0.35333333333333333,0.587512776851654,0.0,semi-real CPU-only local probe; not benchmark evidence
real_main,invoice_6d,DDDDDD,real_l25_u100,B4_semi_event_0.1,1,25,100,300,5,0.08,0.9721566043297449,0.027843395670255067,0.0,1.0,1.0,0.8605555555555555,0.8605555555555555,0.3566666666666667,0.3566666666666667,0.6082757952478197,0.0,semi-real CPU-only local probe; not benchmark evidence
real_main,invoice_6d,DDDDDD,real_l25_u100,B4_semi_event_0.5,1,25,100,300,5,0.08,0.9919759837786356,0.008024016221364394,0.0,1.0,1.0,0.8866666666666667,0.8866666666666667,0.45666666666666667,0.45666666666666667,0.4689273413022359,0.0,semi-real CPU-only local probe; not benchmark evidence
real_main,invoice_6d,DDDDDD,real_l25_u100,B5_rule_feature_0.8,1,25,100,300,5,0.08,0.9460197414954503,0.05398025850454968,0.0,1.0,1.0,0.85,0.85,0.33,0.33,0.610921574168735,0.0,semi-real CPU-only local probe; not benchmark evidence
real_main,invoice_6d,DDDDDD,real_l25_u100,B6_pr_style_tau0.8,1,25,100,300,5,0.08,0.9341275499264399,0.06587245007356013,0.0,1.0,1.0,0.8605555555555555,0.8605555555555555,0.36333333333333334,0.36333333333333334,0.6147593182987637,0.0,semi-real CPU-only local probe; not benchmark evidence
real_main,invoice_c6d,LDDDDDD,real_l25_u100,B0_unconstrained,0,25,100,300,5,0.08,0.9006645448009173,0.09933545519908271,0.006666666666666667,0.9833333333333333,1.0,0.8904761904761904,0.8909523809523809,0.4033333333333333,0.4066666666666667,0.4647963199161348,0.006666666666666667,semi-real CPU-only local probe; not benchmark evidence
real_main,invoice_c6d,LDDDDDD,real_l25_u100,B2_event_0.1,0,25,100,300,5,0.08,0.8982956261436145,0.10170437385638553,0.006666666666666667,0.9866666666666667,1.0,0.8838095238095238,0.8842857142857142,0.38,0.38333333333333336,0.48839742433457145,0.006666666666666667,semi-real CPU-only local probe; not benchmark evidence
real_main,invoice_c6d,LDDDDDD,real_l25_u100,B2_event_0.5,0,25,100,300,5,0.08,0.9309700385729471,0.06902996142705287,0.0,0.9933333333333333,1.0,0.910952380952381,0.910952380952381,0.48,0.48,0.4151618526095436,0.0,semi-real CPU-only local probe; not benchmark evidence
real_main,invoice_c6d,LDDDDDD,real_l25_u100,B4_semi_event_0.1,0,25,100,300,5,0.08,0.9635516144831975,0.03644838551680252,0.0,0.9933333333333333,1.0,0.9057142857142857,0.9057142857142857,0.4666666666666667,0.4666666666666667,0.4311285906746274,0.0,semi-real CPU-only local probe; not benchmark evidence
real_main,invoice_c6d,LDDDDDD,real_l25_u100,B4_semi_event_0.5,0,25,100,300,5,0.08,0.9872966653108597,0.012703334689140311,0.0,1.0,1.0,0.9166666666666666,0.9166666666666666,0.51,0.51,0.36429076058523996,0.0,semi-real CPU-only local probe; not benchmark evidence
real_main,invoice_c6d,LDDDDDD,real_l25_u100,B5_rule_feature_0.8,0,25,100,300,5,0.08,0.9350969052314758,0.06490309476852418,0.0,0.9933333333333333,1.0,0.91,0.91,0.48333333333333334,0.48333333333333334,0.41736534481956844,0.0,semi-real CPU-only local probe; not benchmark evidence
real_main,invoice_c6d,LDDDDDD,real_l25_u100,B6_pr_style_tau0.8,0,25,100,300,5,0.08,0.9239946971337001,0.07600530286629992,0.006666666666666667,0.9866666666666667,1.0,0.910952380952381,0.9119047619047619,0.48,0.48333333333333334,0.40566251391456243,0.006666666666666667,semi-real CPU-only local probe; not benchmark evidence
real_main,invoice_c6d,LDDDDDD,real_l25_u100,B0_unconstrained,1,25,100,300,5,0.08,0.8878448369105657,0.1121551630894343,0.0,0.99,1.0,0.8666666666666667,0.8666666666666667,0.29,0.29,0.5513213775271462,0.0,semi-real CPU-only local probe; not benchmark evidence
real_main,invoice_c6d,LDDDDDD,real_l25_u100,B2_event_0.1,1,25,100,300,5,0.08,0.8841714459657669,0.11582855403423309,0.0,0.99,1.0,0.8595238095238096,0.8595238095238096,0.25666666666666665,0.25666666666666665,0.5821465462730044,0.0,semi-real CPU-only local probe; not benchmark evidence
real_main,invoice_c6d,LDDDDDD,real_l25_u100,B2_event_0.5,1,25,100,300,5,0.08,0.9251412264506023,0.07485877354939774,0.0,0.9966666666666667,1.0,0.8871428571428571,0.8871428571428571,0.36333333333333334,0.36333333333333334,0.4905462605612619,0.0,semi-real CPU-only local probe; not benchmark evidence
real_main,invoice_c6d,LDDDDDD,real_l25_u100,B4_semi_event_0.1,1,25,100,300,5,0.08,0.9641103877623876,0.035889612237612445,0.0,1.0,1.0,0.8933333333333333,0.8933333333333333,0.39666666666666667,0.39666666666666667,0.47596147196633476,0.0,semi-real CPU-only local probe; not benchmark evidence
real_main,invoice_c6d,LDDDDDD,real_l25_u100,B4_semi_event_0.5,1,25,100,300,5,0.08,0.9886004360516866,0.01139956394831343,0.0,1.0,1.0,0.9076190476190477,0.9076190476190477,0.45666666666666667,0.45666666666666667,0.3895731925964355,0.0,semi-real CPU-only local probe; not benchmark evidence
real_main,invoice_c6d,LDDDDDD,real_l25_u100,B5_rule_feature_0.8,1,25,100,300,5,0.08,0.9271689687172572,0.07283103128274282,0.0,1.0,1.0,0.8838095238095238,0.8838095238095238,0.3566666666666667,0.3566666666666667,0.49268320946466354,0.0,semi-real CPU-only local probe; not benchmark evidence
real_main,invoice_c6d,LDDDDDD,real_l25_u100,B6_pr_style_tau0.8,1,25,100,300,5,0.08,0.9149709888299307,0.08502901117006934,0.0,0.9933333333333333,1.0,0.8919047619047619,0.8919047619047619,0.39666666666666667,0.39666666666666667,0.4801332875660488,0.0,semi-real CPU-only local probe; not benchmark evidence
real_main,stock_5d,DDDDD,real_l25_u100,B0_unconstrained,0,25,100,300,5,0.08,0.915080600976944,0.08491939902305601,0.0,1.0,1.0,0.8353333333333334,0.8353333333333334,0.3466666666666667,0.3466666666666667,0.6224768891334533,0.0,semi-real CPU-only local probe; not benchmark evidence
real_main,stock_5d,DDDDD,real_l25_u100,B2_event_0.1,0,25,100,300,5,0.08,0.9115616021553675,0.08843839784463248,0.0,1.0,1.0,0.8273333333333334,0.8273333333333334,0.3233333333333333,0.3233333333333333,0.6660614096323649,0.0,semi-real CPU-only local probe; not benchmark evidence
real_main,stock_5d,DDDDD,real_l25_u100,B2_event_0.5,0,25,100,300,5,0.08,0.9453733245531718,0.0546266754468282,0.0,1.0,1.0,0.866,0.866,0.45,0.45,0.5419420468012491,0.0,semi-real CPU-only local probe; not benchmark evidence
real_main,stock_5d,DDDDD,real_l25_u100,B4_semi_event_0.1,0,25,100,300,5,0.08,0.9692249393463135,0.030775060653686515,0.0,1.0,1.0,0.846,0.846,0.4033333333333333,0.4033333333333333,0.5733563575744629,0.0,semi-real CPU-only local probe; not benchmark evidence
real_main,stock_5d,DDDDD,real_l25_u100,B4_semi_event_0.5,0,25,100,300,5,0.08,0.9906050002574921,0.009394999742507903,0.0,1.0,1.0,0.8806666666666667,0.8806666666666667,0.51,0.51,0.4543627316157023,0.0,semi-real CPU-only local probe; not benchmark evidence
real_main,stock_5d,DDDDD,real_l25_u100,B5_rule_feature_0.8,0,25,100,300,5,0.08,0.9447507389386495,0.05524926106135053,0.0,1.0,1.0,0.8633333333333333,0.8633333333333333,0.43666666666666665,0.43666666666666665,0.5455985129674276,0.0,semi-real CPU-only local probe; not benchmark evidence
real_main,stock_5d,DDDDD,real_l25_u100,B6_pr_style_tau0.8,0,25,100,300,5,0.08,0.9305919408798218,0.06940805912017822,0.0,1.0,1.0,0.856,0.856,0.43,0.43,0.5649107133547465,0.0,semi-real CPU-only local probe; not benchmark evidence
real_main,stock_5d,DDDDD,real_l25_u100,B0_unconstrained,1,25,100,300,5,0.08,0.9316632970174153,0.06833670298258465,0.0,1.0,1.0,0.8106666666666666,0.8106666666666666,0.2733333333333333,0.2733333333333333,0.658709183216095,0.0,semi-real CPU-only local probe; not benchmark evidence
real_main,stock_5d,DDDDD,real_l25_u100,B2_event_0.1,1,25,100,300,5,0.08,0.9295426732301713,0.07045732676982874,0.0,1.0,1.0,0.804,0.804,0.24666666666666667,0.24666666666666667,0.6982777083714803,0.0,semi-real CPU-only local probe; not benchmark evidence
real_main,stock_5d,DDDDD,real_l25_u100,B2_event_0.5,1,25,100,300,5,0.08,0.9539786670605341,0.046021332939465864,0.0,1.0,1.0,0.854,0.854,0.4033333333333333,0.4033333333333333,0.5633976491292317,0.0,semi-real CPU-only local probe; not benchmark evidence
real_main,stock_5d,DDDDD,real_l25_u100,B4_semi_event_0.1,1,25,100,300,5,0.08,0.9746984746058782,0.025301525394121782,0.0,1.0,1.0,0.8366666666666667,0.8366666666666667,0.3433333333333333,0.3433333333333333,0.6080469697316487,0.0,semi-real CPU-only local probe; not benchmark evidence
real_main,stock_5d,DDDDD,real_l25_u100,B4_semi_event_0.5,1,25,100,300,5,0.08,0.9924567161003749,0.007543283899625108,0.0,1.0,1.0,0.878,0.878,0.4866666666666667,0.4866666666666667,0.4753826624552409,0.0,semi-real CPU-only local probe; not benchmark evidence
real_main,stock_5d,DDDDD,real_l25_u100,B5_rule_feature_0.8,1,25,100,300,5,0.08,0.9540656101703644,0.0459343898296356,0.0,1.0,1.0,0.838,0.838,0.35,0.35,0.5830251626968384,0.0,semi-real CPU-only local probe; not benchmark evidence
real_main,stock_5d,DDDDD,real_l25_u100,B6_pr_style_tau0.8,1,25,100,300,5,0.08,0.9426886151234309,0.05731138487656906,0.0,1.0,1.0,0.8346666666666667,0.8346666666666667,0.33,0.33,0.6126856377919515,0.0,semi-real CPU-only local probe; not benchmark evidence
