config,lambda,runs,mean_p_event,mean_delta_p_event_paired,ci95_delta_p_event_paired,p_event_up_rate,mean_illegal_mass,mean_delta_illegal_paired,ci95_delta_illegal_paired,illegal_down_rate,mean_legal_non_gold_mass,mean_gold_path_prob,mean_nll,token_accuracy,mean_delta_token_accuracy_paired
transition_sparse_e1_lr005,0.0,2,0.5051249812046686,0.0,0.0,0.0,0.49487501879533136,0.0,0.0,0.0,0.4648105278611183,0.04031445334355037,0.8078128894170125,0.9583333333333333,0.0
transition_sparse_e1_lr005,0.5,2,0.5072535922129949,0.002128611008326231,0.0003864379723866418,1.0,0.4927464077870051,-0.0021286110083262033,0.0003864379723866961,1.0,0.4667764936263362,0.040477098586658634,0.8067359129587809,0.9583333333333333,0.0
transition_sparse_e1_lr005,1.0,2,0.5086892892916998,0.003564308087031065,0.0004914247989653452,1.0,0.49131071070830024,-0.003564308087031065,0.0004914247989655629,1.0,0.46813411979625624,0.0405551694954435,0.8062123457590739,0.9583333333333333,0.0
transition_sparse_e1_lr005,2.0,2,0.5529267688592274,0.04780178765455881,0.018351773222287406,1.0,0.44707323114077246,-0.047801787654558836,0.018351773222287565,1.0,0.51649269182235,0.036434077036877476,0.8345608711242676,0.9166666666666667,-0.04166666666666663
transition_sparse_e1_lr005,5.0,2,0.6131907403469086,0.1080657591422399,0.009171890219052651,1.0,0.38680925965309143,-0.1080657591422399,0.009171890219052651,1.0,0.5913090569277605,0.021881683419148125,0.959698369105657,0.5,-0.4583333333333333
transition_sparse_e2_lr005,0.0,2,0.6014302770296732,0.0,0.0,0.0,0.3985697229703267,0.0,0.0,0.0,0.4883942889670531,0.11303598806262016,0.5480447510878246,1.0,0.0
transition_sparse_e2_lr005,0.5,2,0.6059963504473369,0.00456607341766363,0.0003128965695698693,1.0,0.3940036495526632,-0.0045660734176635465,0.0003128965695699237,1.0,0.49198099474112195,0.1140153557062149,0.5459096332391103,1.0,0.0
transition_sparse_e2_lr005,1.0,2,0.6087784767150879,0.007348199685414669,0.00033026456832885737,1.0,0.3912215232849121,-0.007348199685414614,0.00033026456832885737,1.0,0.4943003791073958,0.11447809760769209,0.5449198285738628,1.0,0.0
transition_sparse_e2_lr005,2.0,2,0.6576192180315654,0.056188941001892145,0.018292980988820356,1.0,0.3423807819684347,-0.05618894100189206,0.01829298098882041,1.0,0.5597818233072758,0.09783739472428957,0.5862680772940319,1.0,0.0
transition_sparse_e2_lr005,5.0,2,0.7435573140780132,0.1421270370483399,0.01588369687398271,1.0,0.25644268592198693,-0.14212703704833982,0.015883696873982764,1.0,0.7010879603525002,0.042469353725512825,0.7945313056310017,0.3333333333333333,-0.6666666666666667
transition_sparse_e2_lr010,0.0,2,0.7933259109656016,0.0,0.0,0.0,0.2066740890343984,0.0,0.0,0.0,0.3802028646071752,0.4131230463584264,0.22359371185302734,1.0,0.0
transition_sparse_e2_lr010,0.5,2,0.7989165087540945,0.0055905977884929126,0.0010060977935791014,1.0,0.20108349124590555,-0.005590597788492857,0.0010060977935791014,1.0,0.38179750740528107,0.4171190013488134,0.2212705413500468,1.0,0.0
transition_sparse_e2_lr010,1.0,2,0.8021473189194996,0.00882140795389813,0.0013809116681416465,1.0,0.1978526810805003,-0.008821407953898117,0.0013809116681416738,1.0,0.38253862162431085,0.4196086972951889,0.21983287731806436,1.0,0.0
transition_sparse_e2_lr010,2.0,2,0.828993409872055,0.03566749890645349,0.013902304172515867,1.0,0.17100659012794495,-0.03566749890645346,0.013902304172515867,1.0,0.4566347897052765,0.37235862016677856,0.2517992158730825,1.0,0.0
transition_sparse_e2_lr010,5.0,2,0.8822365204493205,0.08891060948371893,0.02763581554094954,1.0,0.11776347955067953,-0.08891060948371887,0.027635815540949495,1.0,0.7364620740214984,0.1457744464278221,0.4905271530151367,0.9583333333333333,-0.041666666666666685
transition_sparse_e3_lr005,0.0,2,0.6994244158267975,0.0,0.0,0.0,0.3005755841732025,0.0,0.0,0.0,0.4562624767422676,0.24316193908452988,0.3553786277770996,1.0,0.0
transition_sparse_e3_lr005,0.5,2,0.7057452996571858,0.0063208838303883685,5.33306598664418e-05,1.0,0.2942547003428141,-0.006320883830388396,5.33306598662786e-05,1.0,0.45940330127875006,0.24634199837843576,0.3522046307722727,1.0,0.0
transition_sparse_e3_lr005,1.0,2,0.7094003260135651,0.009975910186767578,0.00011281410853060778,1.0,0.29059967398643494,-0.009975910186767578,0.00011281410853071661,1.0,0.46112097303072613,0.24827935298283893,0.35030297438303626,1.0,0.0
transition_sparse_e3_lr005,2.0,2,0.7430513302485149,0.043626914421717344,0.012719002167383866,1.0,0.2569486697514852,-0.04362691442171732,0.012719002167383808,1.0,0.5254832382003466,0.21756809204816818,0.38496220111846924,1.0,0.0
transition_sparse_e3_lr005,5.0,2,0.8207600911458334,0.12133567531903588,0.020869967540105252,1.0,0.17923990885416666,-0.12133567531903586,0.020869967540105144,1.0,0.7334401154269774,0.08731997571885586,0.6155307988325756,0.6666666666666666,-0.33333333333333337
