variant,score,AUROC_exact,AUPRC_exact,Spearman_token_error,exact_risk_gap
B0_unconstrained,event_risk_1_minus_p,0.7384,0.8829,0.3117,0.4450
B0_unconstrained,token_marginal_entropy,0.8305,0.9388,0.4559,0.5867
B0_unconstrained,sequence_entropy,0.8339,0.9405,0.4346,0.5817
B0_unconstrained,viterbi_margin_inverse,0.7860,0.9040,0.3566,0.5167
B0_unconstrained,max_sequence_probability_inverse,0.8211,0.9334,0.4217,0.5717
B0_unconstrained,neg_log_viterbi_probability,0.8211,0.9334,0.4217,0.5717
B4_semi_event_0.1,event_risk_1_minus_p,0.6895,0.8865,0.2886,0.2650
B4_semi_event_0.1,token_marginal_entropy,0.8169,0.9382,0.3972,0.5300
B4_semi_event_0.1,sequence_entropy,0.8178,0.9394,0.3785,0.5283
B4_semi_event_0.1,viterbi_margin_inverse,0.7749,0.9063,0.3072,0.4650
B4_semi_event_0.1,max_sequence_probability_inverse,0.8030,0.9312,0.3590,0.5083
B4_semi_event_0.1,neg_log_viterbi_probability,0.8030,0.9312,0.3590,0.5083
